Year,YearEnd,State_Abbr,State,Value_Type,Value,Data_Value_Alt,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(years),Education,Sex,Income,Race/Ethnicity,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategoryId1,StratificationID1
2011,2011,NM,New Mexico,Value,29.4,29.4,27.0,31.8,2145.0,,55 - 64,,,,,OWS,OWS1,Q036,VALUE,35,AGEYR,AGEYR5564
2011,2011,NM,New Mexico,Value,22.5,22.5,20.9,24.1,4826.0,,,,,,Non-Hispanic White,OWS,OWS1,Q036,VALUE,35,RACE,RACEWHT
2011,2011,NM,New Mexico,Value,27.7,27.7,24.4,31.3,1114.0,,,,,"$50,000 - $74,999",,OWS,OWS1,Q036,VALUE,35,INC,INC5075
2011,2011,NM,New Mexico,Value,26.3,26.3,24.8,27.9,5239.0,,,,Female,,,OWS,OWS1,Q036,VALUE,35,SEX,FEMALE
2011,2011,NM,New Mexico,Value,22.0,22.0,19.5,24.6,1713.0,,,,,"$75,000 or greater",,OWS,OWS1,Q036,VALUE,35,INC,INC75PLUS
2011,2011,NM,New Mexico,Value,36.8,36.8,31.9,42.0,576.0,,,,,,American Indian/Alaska Native,OWS,OWS1,Q036,VALUE,35,RACE,RACENAA
2011,2011,NM,New Mexico,Value,27.8,27.8,25.6,30.2,2540.0,,,High school graduate,,,,OWS,OWS1,Q036,VALUE,35,EDU,EDUHSGRAD
2011,2011,NM,New Mexico,Value,15.7,15.7,12.1,20.1,423.0,,18 - 24,,,,,OWS,OWS1,Q036,VALUE,35,AGEYR,AGEYR1824
2011,2011,NM,New Mexico,Value,27.0,27.0,24.8,29.4,2364.0,,,Some college or technical school,,,,OWS,OWS1,Q036,VALUE,35,EDU,EDUCOTEC
2011,2011,NM,New Mexico,Value,24.2,24.2,21.0,27.8,1065.0,,,,,"$25,000 - $34,999",,OWS,OWS1,Q036,VALUE,35,INC,INC2535
2011,2011,NM,New Mexico,Value,21.1,21.1,17.9,24.7,1038.0,,,,,Data not reported,,OWS,OWS1,Q036,VALUE,35,INC,INCNR
2011,2011,NM,New Mexico,Value,23.7,23.7,15.4,34.7,117.0,,,,,,Non-Hispanic Black,OWS,OWS1,Q036,VALUE,35,RACE,RACEBLK
2011,2011,NM,New Mexico,Value,19.4,19.4,17.6,21.2,3044.0,,,College graduate,,,,OWS,OWS1,Q036,VALUE,35,EDU,EDUCOGRAD
2011,2011,NM,New Mexico,Value,26.2,26.2,23.0,29.7,927.0,,25 - 34,,,,,OWS,OWS1,Q036,VALUE,35,AGEYR,AGEYR2534
2011,2011,NM,New Mexico,Value,31.3,31.3,27.8,35.0,1145.0,,,,,"Less than $15,000",,OWS,OWS1,Q036,VALUE,35,INC,INCLESS15
2011,2011,NM,New Mexico,Value,27.2,27.2,23.7,30.9,1178.0,,,,,"$35,000 - $49,999",,OWS,OWS1,Q036,VALUE,35,INC,INC3550
2011,2011,NM,New Mexico,Value,31.9,31.9,28.3,35.6,1014.0,,,Less than high school,,,,OWS,OWS1,Q036,VALUE,35,EDU,EDUHS
2011,2011,NM,New Mexico,Value,1.9,1.9,0.6,6.1,55.0,,,,,,Asian,OWS,OWS1,Q036,VALUE,35,RACE,RACEASN
2011,2011,NM,New Mexico,Value,9.7,9.7,5.0,18.0,72.0,,,,,,2 or more races,OWS,OWS1,Q036,VALUE,35,RACE,RACE2PLUS
2011,2011,NM,New Mexico,Value,29.9,29.9,27.9,32.1,3157.0,,,,,,Hispanic,OWS,OWS1,Q036,VALUE,35,RACE,RACEHIS
2011,2011,NM,New Mexico,Value,31.1,31.1,28.3,34.0,1570.0,,45 - 54,,,,,OWS,OWS1,Q036,VALUE,35,AGEYR,AGEYR4554
2011,2011,NM,New Mexico,Value,26.3,26.3,25.1,27.6,8981.0,Total,,,,,,OWS,OWS1,Q036,VALUE,35,OVR,OVERALL
2011,2011,NV,Nevada,Value,14.0,14.0,9.1,21.1,273.0,,18 - 24,,,,,OWS,OWS1,Q036,VALUE,32,AGEYR,AGEYR1824
